name,picUrl,urlA,urlB,urlC
Mike Jones,http://pic.xiami.net/images/artistlogo/92/14130069008292.jpg,http://pic.xiami.net/images/artistpic/95/32295/1311524305_ByYm.jpg,http://pic.xiami.net/images/artistpic/95/32295/1311524303_WEUe.jpg,http://pic.xiami.net/images/artistpic/95/32295/1311524302_YzbZ.jpg
Blu & Exile,http://pic.xiami.net/images/artistlogo/28/13285977362528.png,,,
Necro,http://pic.xiami.net/images/artistlogo/28/12943401474128.jpg,http://pic.xiami.net/images/artistpic/37/35137/1294340172_v63d.jpg,http://pic.xiami.net/images/artistpic/37/35137/1294340155_NtZb.jpg,http://pic.xiami.net/images/artistpic/37/35137/1294340182_LkPB.jpg
The Alchemist,http://pic.xiami.net/images/artistlogo/99/12899003214799.jpg,,,
Ghostface Killah,http://pic.xiami.net/images/artistlogo/92/13584785653492.jpg,http://pic.xiami.net/images/artistpic/99/18999/1280964528_35pv.jpg,http://pic.xiami.net/images/artistpic/99/18999/1280964551_FWEk.jpg,http://pic.xiami.net/images/artistpic/99/18999/1280964509_smWs.jpg
De La Soul,http://pic.xiami.net/images/artistlogo/20/14411725087120.jpg,http://pic.xiami.net/images/artistpic/61/11761/1326471024_eIwN.jpg,http://pic.xiami.net/images/artistpic/61/11761/1326471031_9PiV.jpg,http://pic.xiami.net/images/artistpic/61/11761/1326822134_K8az.jpg
Bishop Briggs,http://pic.xiami.net/images/artistlogo/46/14865425373646.jpg,http://pic.xiami.net/images/artistpic/86/2100023786/1494858658_Xa8e.jpg,http://pic.xiami.net/images/artistpic/86/2100023786/1494858629_pYFM.jpg,http://pic.xiami.net/images/artistpic/86/2100023786/1494858666_dMQE.jpg
Cashmere Cat,http://pic.xiami.net/images/artistlogo/87/14152545828987.jpg,http://pic.xiami.net/images/artistpic/6/1463590506/1494498314_82hs.jpg,http://pic.xiami.net/images/artistpic/6/1463590506/1494500559_hqaY.jpg,http://pic.xiami.net/images/artistpic/6/1463590506/1494501411_D2Gl.jpg
Ginuwine,http://pic.xiami.net/images/artist/88/12456426218088.jpg,http://pic.xiami.net/images/artistpic/73/15073/1295422903_teQf.jpg,http://pic.xiami.net/images/artistpic/73/15073/1295422916_qB5p.jpg,http://pic.xiami.net/images/artistpic/73/15073/1295422885_cYVD.jpg
Jameston Thieves,http://pic.xiami.net/images/artistlogo/48/14071349817248.jpg,,,
Audio Bullys,http://pic.xiami.net/images/artist/12379485064001.jpg,http://pic.xiami.net/images/artistpic/41/35341/1357544014_fg6v.png,http://pic.xiami.net/images/artistpic/41/35341/1357544124_eunV.jpg,http://pic.xiami.net/images/artistpic/41/35341/1357544106_4KES.jpg
韩安�?http://pic.xiami.net/images/artistpic/36/2099995336/1478060966_P3ob.jpg,,http://pic.xiami.net/images/artistpic/36/2099995336/1478060954_KzUp.jpg,http://pic.xiami.net/images/artistpic/36/2099995336/1478060953_rxoV.jpg,http://pic.xiami.net/images/artistlogo/65/14743497481765.jpg
Different Sleep,http://pic.xiami.net/images/artistlogo/21/13976339991321.jpg,http://pic.xiami.net/images/artistpic/67/113367/1446446545_ugtd.jpg,http://pic.xiami.net/images/artistpic/67/113367/1503272730_uGxJ.jpg,http://pic.xiami.net/images/artistpic/67/113367/1503272732_blXI.jpg
Pixie Paris,http://pic.xiami.net/images/artistlogo/37/14176890518737.jpg,,,
艺涛,http://pic.xiami.net/images/artistlogo/97/13889203558697.jpg,,,
Soler,http://pic.xiami.net/images/artistlogo/87/14138029547287.jpg,http://pic.xiami.net/images/artistpic/95/2995/1244950637_C8um.jpg,http://pic.xiami.net/images/artistpic/95/2995/1244950586_N4pT.jpg,http://pic.xiami.net/images/artistpic/95/2995/1244950663_Z34u.jpg
Louis Mattrs,http://pic.xiami.net/images/artistlogo/18/14774654891118.jpg,http://pic.xiami.net/images/artistpic/4/226831004/1479623578_5y30.jpg,http://pic.xiami.net/images/artistpic/4/226831004/1475333797_uf95.jpg,http://pic.xiami.net/images/artistpic/4/226831004/1479623574_oZZ3.jpg
黎明,http://pic.xiami.net/images/artistlogo/66/14357431988966.jpg,http://pic.xiami.net/images/artistpic/1/501/1246860506_Kn7f.jpg,http://pic.xiami.net/images/artistpic/1/501/1246860468_oyFb.jpg,http://pic.xiami.net/images/artistpic/1/501/1246860487_06Ie.jpg
郭富�?http://pic.xiami.net/images/artistpic/82/282/1280312703_ttIV.jpg,,http://pic.xiami.net/images/artistpic/82/282/1283409045_fOkZ.jpg,http://pic.xiami.net/images/artistpic/82/282/1283409035_l2lm.jpg,http://pic.xiami.net/images/artistlogo/11/14230342798911.jpg
